Id,CreationDate,LastAccessDate,DownVotes,UpVotes,Reputation,Views,WebsiteUrl
5740031,2016-1-3,2016-3-6,0,3,317,5,http://codefuller.com/
5740031,2016-1-3,2016-12-10,10,362,1188,31,http://codefuller.com/
5740031,2016-1-3,2017-6-10,13,487,3496,73,http://codefuller.com/
5740031,2016-1-3,2017-8-25,13,531,3506,79,http://codefuller.com/
5740031,2016-1-3,2017-12-2,19,624,6313,209,http://codefuller.com/
5740031,2016-1-3,2018-6-1,30,1009,19243,1363,http://codefuller.com/
5740031,2016-1-3,2018-9-2,30,1064,20091,1412,http://codefuller.com/
5740031,2016-1-3,2018-12-1,30,1095,20929,1474,http://codefuller.com/
5740031,2016-1-3,2019-6-1,30,1147,22326,1594,http://codefuller.com/
5740031,2016-1-3,2019-9-1,30,1180,22962,1633,http://codefuller.com/
5741205,2016-1-3,2016-3-5,43,142,1986,212,
5741205,2016-1-3,2016-12-10,411,2510,32411,2911,
5741205,2016-1-3,2017-6-10,475,4912,58821,5226,https://www.linkedin.com/in/maxuzunov/
5741205,2016-1-3,2017-8-26,493,5746,69940,5914,https://www.linkedin.com/in/maxuzunov/
5741205,2016-1-3,2017-12-2,502,6781,83732,6650,https://www.linkedin.com/in/maxuzunov/
5741205,2016-1-3,2018-6-1,519,8279,105652,7987,https://www.linkedin.com/in/maxuzunov/
5741205,2016-1-3,2018-9-2,519,8532,112153,8475,https://www.linkedin.com/in/maxuzunov/
5741205,2016-1-3,2018-12-1,519,8624,117790,8762,https://www.linkedin.com/in/maxuzunov/
5741205,2016-1-3,2019-6-2,519,8803,128178,9426,https://www.linkedin.com/in/maxuzunov/
5741205,2016-1-3,2019-8-31,520,8971,133819,9699,https://www.linkedin.com/in/maxuzunov/
5743988,2016-1-4,2016-3-6,1,31,180,5,http://castletheperson.com
5743988,2016-1-4,2016-12-11,704,870,10953,1354,http://www.castletheperson.com
5743988,2016-1-4,2017-6-11,1583,1134,14758,2365,https://www.linkedin.com/in/castlekerr/
5743988,2016-1-4,2017-8-27,1720,1210,15927,2694,https://www.linkedin.com/in/castlekerr/
5743988,2016-1-4,2017-12-3,1920,1302,17368,2994,https://www.linkedin.com/in/castlekerr/
5743988,2016-1-4,2018-6-2,2110,1384,19325,3453,https://www.linkedin.com/in/castlekerr/
5743988,2016-1-4,2018-9-2,2148,1402,20106,3617,https://www.linkedin.com/in/castlekerr/
5743988,2016-1-4,2018-12-1,2162,1421,20761,3738,https://www.linkedin.com/in/castlekerr/
5743988,2016-1-4,2019-6-2,2191,1492,22539,4022,https://www.linkedin.com/in/castlekerr/
5743988,2016-1-4,2019-9-1,2199,1507,23469,4157,https://www.linkedin.com/in/castlekerr/
5761558,2016-1-8,2016-3-5,0,4,552,15,NULL
5761558,2016-1-8,2016-12-8,0,18,1422,42,NULL
5761558,2016-1-8,2017-6-10,0,21,1655,61,NULL
5761558,2016-1-8,2017-8-26,0,23,1850,74,NULL
5761558,2016-1-8,2017-12-2,0,24,1860,79,NULL
5761558,2016-1-8,2018-6-2,241,400,7850,551,
5761558,2016-1-8,2018-9-1,342,836,13263,963,
5761558,2016-1-8,2018-12-1,381,1172,18101,1365,
5761558,2016-1-8,2019-6-1,399,1914,25718,2062,
5761558,2016-1-8,2019-9-1,399,2124,27004,2203,
5768908,2016-1-10,2016-3-5,0,2,56,6,http://gf.neocities.com
5768908,2016-1-10,2016-12-11,660,2784,14194,715,http://gf.neocities.org
5768908,2016-1-10,2017-6-11,1401,4061,31874,1849,http://gf.neocities.org
5768908,2016-1-10,2017-8-27,1703,4499,37646,2362,http://gf.neocities.org
5768908,2016-1-10,2017-12-3,2066,5080,45513,2990,http://gf.neocities.org
5768908,2016-1-10,2018-6-3,2570,5997,55867,4121,http://gf.neocities.org
5768908,2016-1-10,2018-9-2,2891,6481,60650,4616,https://www.gerardofurtado.com
5768908,2016-1-10,2018-12-2,3121,6638,62858,4913,https://www.gerardofurtado.com
5768908,2016-1-10,2019-6-2,3585,7426,70351,5773,https://www.gerardofurtado.com
5768908,2016-1-10,2019-9-1,3811,7786,74059,6176,https://www.gerardofurtado.com
5771269,2016-1-10,2016-3-6,2,16,1160,50,NULL
5771269,2016-1-10,2016-12-11,45,95,6634,174,NULL
5771269,2016-1-10,2017-6-10,68,120,8660,276,
5771269,2016-1-10,2017-8-27,77,139,9945,352,
5771269,2016-1-10,2017-12-3,117,181,11881,481,
5771269,2016-1-10,2018-6-3,165,256,14353,684,
5771269,2016-1-10,2018-9-2,180,264,15217,770,
5771269,2016-1-10,2018-12-2,196,290,16634,876,
5771269,2016-1-10,2019-6-2,240,351,21303,1252,
5771269,2016-1-10,2019-9-1,261,375,22753,1356,
5772882,2016-1-11,2016-3-4,0,0,16,2,
5772882,2016-1-11,2016-12-10,140,321,2390,314,http://ole.villumsen.name/
5772882,2016-1-11,2017-6-10,309,1052,7790,1034,http://ole.villumsen.name/
5772882,2016-1-11,2017-8-25,333,1248,9689,1276,http://ole.villumsen.name/
5772882,2016-1-11,2017-12-2,374,1488,11354,1491,http://ole.villumsen.name/
5772882,2016-1-11,2018-6-2,517,2228,18517,2258,http://ole.villumsen.name/
5772882,2016-1-11,2018-9-1,585,2639,21940,2731,http://ole.villumsen.name/
5772882,2016-1-11,2018-12-2,634,3046,25794,3178,http://ole.villumsen.name/
5772882,2016-1-11,2019-6-2,710,3812,33993,4255,http://ole.villumsen.name/
