index,Id,status,reputation_s,dt_0,dt_s,post,badge,reptation,learning,reciprocity,url,day
1,5740031,1,1,2016-1-3,2016-1-4,0.428571429,0.19047619,1,0.079365079,0.047619048,1,1
2,5740031,2,5,2016-1-3,2016-1-5,0.435483871,0.193548387,4,0.079365079,0.047619048,1,2
3,5740031,3,10,2016-1-3,2016-1-6,1.30667825,0.580745889,10,0.238095238,0.142857143,1,3
4,5740031,4,15,2016-1-3,2016-1-7,0.45,0.2,5,0.079365079,0.047619048,1,4
5,5740031,5,20,2016-1-3,2016-1-8,2.214305369,0.98413572,20,0.396825397,0.238095238,1,5
6,5740031,6,50,2016-1-3,2016-1-14,0.465517241,0.206896552,5,0.079365079,0.047619048,1,11
7,5740031,7,75,2016-1-3,2016-1-19,1.520712533,0.675872237,15,0.253968254,0.152380952,1,16
8,5740031,8,100,2016-1-3,2016-1-24,0.574468085,0.255319149,5,0.079365079,0.047619048,1,21
9,5740031,9,125,2016-1-3,2016-1-29,2.738037761,1.216905671,25,0.412698413,0.247619048,1,26
10,5740031,10,200,2016-1-3,2016-2-13,0.72972973,0.324324324,5,0.079365079,0.047619048,1,41
11,5740031,11,250,2016-1-3,2016-2-23,3.690886202,1.640393868,25,0.404761905,0.242857143,1,51
12,5740031,12,500,2016-1-3,2016-5-11,0.205479452,0.068493151,3.205128205,0.092619866,1.270004909,1,129
13,5740031,13,1000,2016-1-3,2016-10-13,0.621898085,0.233757327,6.451612903,0.165342244,1.924772357,1,284
14,5740031,14,1500,2016-1-3,2016-12-1,1.016949153,0.338983051,10.20408163,0.197383134,0.840251186,1,333
15,5740031,15,2000,2016-1-3,2017-1-18,3.504681493,1.220678234,41.66666667,0.932796079,7.913418341,1,381
16,5740031,16,2500,2016-1-3,2017-3-7,0.611111111,0.159722222,10.41666667,0.197383134,0.840251186,1,429
17,5740031,17,3000,2016-1-3,2017-4-24,5.032459271,1.61998379,62.5,1.327562348,9.593920713,1,477
18,5740031,18,5000,2016-1-3,2017-9-6,0.394618834,0.121076233,14.81481481,0.654400934,0.822035161,1,612
19,5740031,19,10000,2016-1-3,2017-12-10,3.429416322,1.179462714,105.2631579,6.119112787,7.760076543,1,707
20,5740031,20,15000,2016-1-3,2018-3-14,0.502857143,0.291428571,53.19148936,4.518406273,1.744466638,1,801
