Id,status,reputation,cdate,rdate
5740031,1,1,2016-1-3,2016-1-4
5740031,2,5,2016-1-3,2016-1-5
5740031,3,10,2016-1-3,2016-1-6
5740031,4,15,2016-1-3,2016-1-7
5740031,5,20,2016-1-3,2016-1-8
5740031,6,50,2016-1-3,2016-1-14
5740031,7,75,2016-1-3,2016-1-19
5740031,8,100,2016-1-3,2016-1-24
5740031,9,125,2016-1-3,2016-1-29
5740031,10,200,2016-1-3,2016-2-13
5740031,11,250,2016-1-3,2016-2-23
5740031,12,500,2016-1-3,2016-5-11
5740031,13,1000,2016-1-3,2016-10-13
5740031,14,1500,2016-1-3,2016-12-1
5740031,15,2000,2016-1-3,2017-1-18
5740031,16,2500,2016-1-3,2017-3-7
5740031,17,3000,2016-1-3,2017-4-24
5740031,18,5000,2016-1-3,2017-9-6
5740031,19,10000,2016-1-3,2017-12-10
5740031,20,15000,2016-1-3,2018-3-14
5740031,21,20000,2016-1-3,2018-8-30
5741205,1,1,2016-1-3,2016-1-4
5741205,2,5,2016-1-3,2016-1-5
5741205,3,10,2016-1-3,2016-1-6
5741205,4,15,2016-1-3,2016-1-7
5741205,5,20,2016-1-3,2016-1-8
5741205,6,50,2016-1-3,2016-1-9
5741205,7,75,2016-1-3,2016-1-10
5741205,8,100,2016-1-3,2016-1-11
5741205,9,125,2016-1-3,2016-1-12
5741205,10,200,2016-1-3,2016-1-15
5741205,11,250,2016-1-3,2016-1-17
5741205,12,500,2016-1-3,2016-1-24
5741205,13,1000,2016-1-3,2016-2-7
5741205,14,1500,2016-1-3,2016-2-21
5741205,15,2000,2016-1-3,2016-2-26
5741205,16,2500,2016-1-3,2016-3-2
5741205,17,3000,2016-1-3,2016-3-7
5741205,18,5000,2016-1-3,2016-3-26
5741205,19,10000,2016-1-3,2016-5-13
5741205,20,15000,2016-1-3,2016-6-30
5741205,21,20000,2016-1-3,2016-8-16
5743988,1,1,2016-1-4,2016-1-5
5743988,2,5,2016-1-4,2016-1-7
5743988,3,10,2016-1-4,2016-1-9
5743988,4,15,2016-1-4,2016-1-11
5743988,5,20,2016-1-4,2016-1-13
5743988,6,50,2016-1-4,2016-1-23
5743988,7,75,2016-1-4,2016-2-1
5743988,8,100,2016-1-4,2016-2-10
5743988,9,125,2016-1-4,2016-2-18
5743988,10,200,2016-1-4,2016-2-21
5743988,11,250,2016-1-4,2016-2-23
5743988,12,500,2016-1-4,2016-3-1
5743988,13,1000,2016-1-4,2016-3-15
5743988,14,1500,2016-1-4,2016-3-29
5743988,15,2000,2016-1-4,2016-4-12
5743988,16,2500,2016-1-4,2016-4-26
5743988,17,3000,2016-1-4,2016-5-10
5743988,18,5000,2016-1-4,2016-7-4
5743988,19,10000,2016-1-4,2016-11-16
5743988,20,15000,2016-1-4,2017-7-14
5743988,21,20000,2016-1-4,2018-8-25
5761558,1,1,2016-1-8,2016-1-9
5761558,2,5,2016-1-8,2016-1-10
5761558,3,10,2016-1-8,2016-1-11
5761558,4,15,2016-1-8,2016-1-12
5761558,5,20,2016-1-8,2016-1-13
5761558,6,50,2016-1-8,2016-1-16
5761558,7,75,2016-1-8,2016-1-19
5761558,8,100,2016-1-8,2016-1-22
5761558,9,125,2016-1-8,2016-1-25
5761558,10,200,2016-1-8,2016-2-2
5761558,11,250,2016-1-8,2016-2-7
5761558,12,500,2016-1-8,2016-3-1
5761558,13,1000,2016-1-8,2016-8-1
5761558,14,1500,2016-1-8,2017-3-28
5761558,15,2000,2016-1-8,2017-5-1
5761558,16,2500,2016-1-8,2017-6-4
5761558,17,3000,2016-1-8,2017-7-8
5761558,18,5000,2016-1-8,2017-11-21
5761558,19,10000,2016-1-8,2018-5-12
5761558,20,15000,2016-1-8,2018-9-15
5761558,21,20000,2016-1-8,2019-1-14
5768908,1,1,2016-1-10,2016-1-11
5768908,2,5,2016-1-10,2016-1-15
5768908,3,10,2016-1-10,2016-1-20
5768908,4,15,2016-1-10,2016-1-25
5768908,5,20,2016-1-10,2016-1-30
5768908,6,50,2016-1-10,2016-2-29
5768908,7,75,2016-1-10,2016-3-1
5768908,8,100,2016-1-10,2016-3-2
5768908,9,125,2016-1-10,2016-3-3
5768908,10,200,2016-1-10,2016-3-5
5768908,11,250,2016-1-10,2016-3-7
5768908,12,500,2016-1-10,2016-3-13
5768908,13,1000,2016-1-10,2016-3-23
